epoch,pages,accesses,mean_unique_words,p_le_4,p_le_8,p_le_16,p_le_32,p_le_48
305,206997,10000000,18.273004,0.586197,0.672570,0.715817,0.741223,0.754006
306,205319,10000000,19.269327,0.577949,0.659978,0.701245,0.726621,0.742683
307,203129,10000000,19.410581,0.578115,0.657956,0.697837,0.722073,0.735562
308,205224,10000000,18.841442,0.582680,0.665780,0.707719,0.732643,0.745970
309,210858,10000000,18.300273,0.584166,0.673591,0.718346,0.744563,0.757737
310,209231,10000000,18.450583,0.580937,0.668386,0.712480,0.738820,0.757335
311,218991,10000001,17.582508,0.584092,0.680338,0.729418,0.756858,0.770502
312,206047,10000001,18.978471,0.581547,0.663805,0.705460,0.730853,0.744199
313,214520,10000000,17.870343,0.584589,0.679564,0.725886,0.753198,0.767369
314,206421,10000000,18.218340,0.586961,0.674268,0.717916,0.744067,0.759521
315,187654,10000000,20.061736,0.579108,0.652525,0.689679,0.712529,0.723464
316,213269,10000001,17.782031,0.588341,0.680680,0.727396,0.754437,0.767603
317,201635,10000000,19.323133,0.579081,0.660352,0.701500,0.726099,0.738453
318,209726,10000000,18.470709,0.583066,0.671805,0.716378,0.743241,0.754546
319,193129,10000001,19.881877,0.577195,0.652320,0.689777,0.713306,0.726975
320,207829,10000000,17.816946,0.584755,0.675493,0.721006,0.748279,0.767237
321,198228,10000000,19.106625,0.582329,0.663700,0.705168,0.730548,0.742090
322,207196,10000001,18.176051,0.583409,0.670693,0.715019,0.741433,0.761945
323,208221,10000000,18.107712,0.587875,0.676675,0.721022,0.747533,0.760163
324,227304,10000001,17.461426,0.579334,0.679838,0.731069,0.760079,0.776493
325,214954,10000000,17.712469,0.584423,0.679266,0.726765,0.754589,0.768671
326,215213,10000001,18.196879,0.579170,0.669239,0.715092,0.742269,0.761604
327,195674,10000000,20.191063,0.570612,0.646908,0.686095,0.710702,0.722114
328,210635,10000001,18.258058,0.578337,0.669865,0.716467,0.743670,0.757970
329,185644,10000000,19.709826,0.580153,0.652954,0.691280,0.715735,0.729951
330,218249,10000000,17.516172,0.583728,0.679435,0.729002,0.757231,0.772824
331,203981,10000000,18.444110,0.585123,0.670244,0.713924,0.740290,0.753256
